City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,paita,-5.0892,-81.1144,28.34,69,98,1.69,PE,1680539755
309,hervey bay,-25.2986,152.8535,21.98,86,2,4.62,AU,1680539062
310,pechenga,69.5259,31.1703,-2.46,78,96,11.07,RU,1680539317
311,kununurra,-15.7667,128.7333,23.99,94,48,1.54,AU,1680539755
312,masvingo,-20.0637,30.8277,21.55,57,10,3.14,ZW,1680539318
313,palanga,55.9175,21.0686,2.01,64,0,5.14,LT,1680539318
314,ust-maya,60.4167,134.5333,-7.5,96,100,3.75,RU,1680539318
315,poum,-20.2333,164.0167,26.78,81,77,3.18,NC,1680539756
316,port hedland,-20.3167,118.5667,27.03,83,34,3.6,AU,1680539318
317,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,75,0,6.0,RU,1680539318
318,itupiranga,-5.1347,-49.3267,30.18,97,100,1.95,BR,1680539318
319,alofi,-19.0595,-169.9187,24.94,88,75,4.63,NU,1680539318
320,altay,47.8667,88.1167,-6.11,44,0,3.66,CN,1680539322
321,leningradskiy,69.3833,178.4167,-33.13,99,27,2.56,RU,1680539756
322,yazykovo,55.2199,56.1353,6.75,75,69,2.38,RU,1680539323
323,taltal,-25.4,-70.4833,22.24,80,41,2.46,CL,1680539528
324,glazov,58.1394,52.6584,4.75,87,60,2.3,RU,1680539323
325,balaipungut,1.05,101.2833,23.68,98,100,1.15,ID,1680539323
326,chokurdakh,70.6333,147.9167,-13.84,94,100,5.04,RU,1680539756
327,stornoway,58.2093,-6.3865,10.52,68,20,6.17,GB,1680539756
328,zhigansk,66.7697,123.3711,-7.7,95,99,6.88,RU,1680539323
329,staroye drozhzhanoye,54.7266,47.5677,9.64,45,16,3.46,RU,1680539323
330,nikolskoye,59.7035,30.7861,-0.05,94,100,4.57,RU,1680539756
331,anadyr,64.75,177.4833,-24.72,84,20,7.0,RU,1680539757
332,praia da vitoria,38.7333,-27.0667,18.2,67,75,3.08,PT,1680539323
333,jardim,-21.4803,-56.1381,30.89,50,0,2.45,BR,1680539194
334,lagoa,39.05,-27.9833,14.56,69,94,5.76,PT,1680539757
335,birao,10.2849,22.7882,37.95,8,50,3.06,CF,1680539324
336,batemans bay,-35.7167,150.1833,17.28,93,45,1.99,AU,1680539324
337,churapcha,62.0025,132.4325,-11.96,93,100,4.0,RU,1680539324
338,saint anthony,45.0205,-93.218,5.56,66,0,5.14,US,1680539757
339,egvekinot,66.3167,-179.1667,-25.63,91,90,4.69,RU,1680539324
340,jiamusi,46.8333,130.35,8.64,28,100,7.26,CN,1680539325
341,carauari,-4.8828,-66.8958,30.91,59,79,1.19,BR,1680539325
342,otorohanga,-38.1833,175.2,11.29,99,32,1.22,NZ,1680539325
343,iquique,-20.2208,-70.1431,27.02,75,94,2.84,CL,1680539501
344,longyearbyen,78.2186,15.6401,-11.09,79,100,10.8,SJ,1680539757
345,adeje,28.1227,-16.726,24.5,74,20,5.14,ES,1680539325
346,ola,59.5833,151.2833,-16.87,83,4,3.43,RU,1680539325
347,idrinskoye,54.3708,92.1358,-6.35,80,94,1.31,RU,1680539325
348,brisbane,-27.4679,153.0281,20.48,85,75,2.06,AU,1680539255
349,nuuk,64.1835,-51.7216,-0.66,64,0,6.17,GL,1680539326
350,zaysan,47.4667,84.8667,-1.75,30,0,1.0,KZ,1680539123
351,lorengau,-2.0226,147.2712,26.51,77,84,1.25,PG,1680539758
352,springbok,-29.6643,17.8865,20.77,34,0,6.54,ZA,1680539326
353,pa sang,18.5262,98.9394,30.11,35,6,1.87,TH,1680539326
354,buraydah,26.326,43.975,23.25,12,0,4.44,SA,1680539326
355,tiarei,-17.5333,-149.3333,26.01,72,79,1.88,PF,1680539326
356,moju,-1.8839,-48.7689,26.32,89,98,0.49,BR,1680539326
357,olinda,-8.0089,-34.8553,29.85,66,20,5.14,BR,1680539326
358,panama city,8.9936,-79.5197,34.54,52,20,7.72,PA,1680539326
359,vila franca do campo,37.7167,-25.4333,16.23,60,40,1.7,PT,1680539758
360,kokstad,-30.5472,29.4241,14.73,90,82,2.6,ZA,1680539326
